"File","SHA1","Size"
"Vol 49.zip","a188823cd551499c4ea698cec8f08c8eef074673","117430814"
"Vol 50.zip","cfed46511307f1577b8b77476e4885c0d6971e6e","87875107"
"Vol 52.zip","e746715c2d0df4847d8307ca6f884653fb7a3203","89120888"
"Vol 53.zip","3638c067a312545f724d31b0e8bdc3ae15ca3ce9","95612145"
"Vol 54.zip","9f0216977bb92cb4afeb96733772dc2e0bb29f31","135575913"
"Vol 55.zip","43247e5aafadbdea6bb9986b45cdb5b9e5ce405c","78704637"
"Vol 56.zip","eded20b9f1dde86aa81e377b3bab662d8d14538e","74254532"
"Vol 59.zip","de755b5abfb19832c4ecf2b08d01d21a004b1a2d","80456689"
"Vol 60.zip","a1a89f91b981d4efd9d7b5c2fa570fbc857c3304","89606728"
"Vol 61.zip","9fe9f56d2326466d9d39caccf84f77d023459f91","69003642"
"Vol 62.zip","302e70880bee64c7d2f96f144183950ace675078","72013890"
"Vol 63.zip","668b6f8906d91b7029dce7e1ac79f739325c85c3","51537143"
"Vol 64.zip","43fb65fc4a3845304662a35b9fe6923c1c7ff354","59284301"
"Vol 65.zip","86b456116df9b487bd479e4b8c89e36fb0e38edc","60067605"
"Vol 66.zip","07214747a6b2ced088f81a1ac7f7353d63b7e27f","94566894"
"Vol 74 (Damaged).zip","e6a93131eb2c4e69671ec584f96d51059fd528ac","21366714"
"Vol 75 (Damaged).zip","ba21deaceb7072526e88a0ca84f674d16bfc6ec5","82693282"
"Vol 76.zip","71099db7b7acc7caf8366717dd091c32bccc263e","73585289"
"Vol 78.zip","087c3844117d634ab575c813c19682b3de914eec","55611215"
"Vol 83.zip","5bc17f32ecdcf954c4e2441f37e25a3d4c41001a","30943119"
"Vol 86.zip","f1c3c9014897af9b899fe2180da779e76fccec6d","51482975"
"Vol 89.zip","c27288195867384b75e15224643277e330056577","63288277"
"Vol 93.zip","57042bb81a142b29a7b9f888b59971eb73d66075","56072736"
"Vol 99.zip","cf7629a8fff2c2fa73814fde2de84b87d6c4f5cc","39772748"
"Vol A-12.zip","aec7f3c85d881afbb6bd96123ec89b76073c07ec","353327418"
"Vol A-4.zip","6f877ac16ab0a63b8a5cb453126d2bd0db972f83","51538047"
"Vol B-12.zip","84eac0b07e31fa9add7e0039dfc31ac8ec98372f","221639925"
"Vol C-12.zip","8da119bbf5e4a9c60e1818b57ca43d81f736e853","53612507"
"Vol C-14.zip","8bde36ac9a684c4f89052355ecc6fc97345230e0","58973416"
"Vol E-12.zip","c80b06a7b6ec198eb4ac3b29247f3f9262edfa41","178207180"
"Vol E-14.zip","1f84a62e7f9322d808c0a7f4deee5efc13d69671","93225593"
"Vol F-12.zip","2faf47dbf828f88ce52d0f61795e1c425ddb5496","189617580"
"Vol G-12.zip","439c0347eceb60fd294b28b45f91c00b44d1ce41","477363133"
"Vol K-12.zip","e609d3f67643423f6a0ee1dee2b8a58861acd737","129896544"
"Vol K-14.zip","aacf49e12bd1edd662c78424d3c0b54cc02fdf62","126332972"
"Vol M-12.zip","146b49c38b3c45c7f787c55500c3c2bd7642a1cd","69687048"
