"File","SHA1","Size"
"Volume 26 [Anniversary Edition] - JOGO DISK .iso","29127baf9357d0b12cb427f102ea9e0bf538881d","526960640"
"Volume 28 - JOGO DISK .iso","b21ed071c98c678f67ec99aeaf6cc71f22c8ca5d","211863552"
"Volume 29 - JOGO DISK .iso","0d570827c48b1c83850840526349fecf63fabc31","255479808"
"Volume 30 - JOGO DISK .iso","012423c6a1edf7e354590c5d1aa35caf2b513af4","225804288"
"Volume 31 - JOGO DISK .iso","164841afcaef0c87d24287211981dd5538632593","174602240"
"Volume 33 - JOGO DISK .iso","3d3eba7d43c6d26d9f951c68910bc9b59bcddc79","180060160"
"Volume 34 My Disc.iso","6aaf544f5f5462cb5426485a3175cbf9b34b2311","104886272"
"Volume 35 - JOGO DISK .iso","2e3708bb5ae6e5e74a58f109aba0ad38baa5845f","121853952"
"Volume 35.iso","2e3708bb5ae6e5e74a58f109aba0ad38baa5845f","121853952"
"Volume 36 - JOGO DISK .iso","fe0aec4df037f42bebfaf259acb287dbb4c402c9","107663360"
"Volume 37 - JOGO DISK .iso","37a60ec55253d528e928186d5fb16846ff96c4fc","101713920"
"Volume 39 - JOGO DISK .iso","59b0258c0a92bc080549fecbd649d77029af4027","93220864"
"Volume 41 - JOGO DISK .iso","4e419d18355ecb6a67c4cd50ad7c7b3f2b344e2f","160147456"
"Volume 44 - JOGO DISK .iso","882cd6e914f329ded09a0d1e4278790bab5aa342","127260672"
"Volume 46 - JOGO DISK .iso","30b6ba517b0cade35e8604a15c5429b31496aee8","439703552"
"Volume 47 - JOGO DISK .iso","aca0c38f5d747e1aaf36ef60c3eb1366baf740d9","154232832"
"Volume 49 - JOGO DISK .iso","cfaad71808802fe8a0565e043223f6e3524c469c","127322112"
"Volume 50 - JOGO DISK .iso","87f4775635933199e957894777b5b943b5f8d54b","139413504"
"Volume 52 - JOGO DISK .iso","c9b57da51d82c5b4d80deac42b11f5e6660f72b2","120942592"
"Volume 52 My Disc - Damaged.iso","a97faacba43cf2c62bb2a2ebbff6059e8356eea9","120942592"
"Volume 53 - JOGO DISK .iso","80d8e74b8b83a253831e2312855668a955bd6a52","127094784"
"Volume 55 - JOGO DISK .iso","255454c003a46ca6054319515666c1bdc4026862","108627968"
"Volume 56 - JOGO DISK .iso","7d21065d202ef2c6e44f57df579c58343e420e46","105613312"
"Volume 59 - JOGO DISK .iso","473b0d75770eb105103958b136f426647ee61698","110671872"
"Volume 60.iso","cf80f72e7950a521d42d4468e6f116f5246d7d03","121202688"
"Volume 61 - JOGO DISK .iso","03291cf66ca88b958723b39fa5d01fe3c4b25a47","100044800"
"Volume 62 - JOGO DISK .iso","a760ef5ac75f7d9e92c3094e50de6312907b5b11","102180864"
"Volume 63 - JOGO DISK .iso","a567f575e403f8cdaf21cdb24ded279abe1e361e","80744448"
"Volume 64 - JOGO DISK .iso","c3bedf33d63310c02b0f1afb5f173b0c44eec708","89804800"
"Volume 65.iso","cd5ad5a48efd13f9462da73f98bfcd039a7de4ea","98461696"
"Volume 74 My Disc - Damaged.iso","b98c5aa9f6bc10ae570dd12d45f0193bfefa7ae0","74604544"
"Volume 75 My Disc - Damaged.iso","bfc0e8ed0d49902cc38297c2b753c80706cdc3b0","123531264"
"Volume 76 My Disc.iso","4add69f4eebb23cea035240eaf98b5dc8f5c867f","117583872"
"Volume 78 My Disc.iso","1fcea133e77267a564c8e69e35d8f90b88caf96c","91779072"
"Volume 83 My Disc.iso","ef50b2998f6fd2619527ce95dc199a1559dfa9c6","66148352"
"Volume 86 My Disc.iso","13c62b989ee6a825cafaad120e50e3bba8210b0b","84207616"
"Volume 89 My Disc.iso","bc84db469c33dd77a35aaff9bc652855cc204ddf","96303104"
"Volume 93 My Disc.iso","dd3edfed6f82774fb495c8da57087b781c5a5c6d","89016320"
"Volume 99 Jan 19 2010.iso","53cdc323c278e43dea4b78d124a2f10a386d893f","73111552"
"Volume A-12 Apr 04 2012.iso","2d0c2fa299d97ccb7dd7d310ffa0caae71ab3ab5","421554176"
"Volume A-4 Volume. A4.iso","2c855266600769ffd6c5f08519d0008a8cafcd01","80773120"
"Volume B-12 Apr 13 2012.iso","9e622c33f8230a666a8160c8053f70987bdf05f3","299352064"
"Volume E-12 May 21 2012.iso","9802bc0831a0e2c3de239bbf5437d625fd109f97","283990016"
"Volume F-12 Jun 02 2012.iso","df3ff35163978f3b66cdea4afae01b4292727d51","330915840"
"Volume G-12 Jun 21 2012.iso","dedb464c6be75eb3da94bd5920ffa5c1db0779c1","409208832"
"Volume K-14 Jun 07 2014.iso","e9e00d1444677426297cdd30d8811fcc5ba68e8b","169236480"
"Volume M-12.iso","9c7535eca71057c6727243acdc20f2a5b09eb06f","116908032"
